regio,jaar,met_schade,Q1,Q2,Q3,Q4,Q5,gemiddeld
CAN,2020,False,10328.16474518382,21237.17007626825,34988.90807733852,57645.330524167584,118532.54848740855,55051.6482
CAN,2020,True,10219.203639938605,21013.12005568063,34619.778596013406,57037.17805167067,117282.04195412125,54470.85881665482
CAN,2030,False,12589.975193165652,25887.991819450635,42651.28370798515,70269.33624771376,144490.51519390906,67107.65196731444
CAN,2030,True,12369.646909308205,25434.944317562662,41904.87364763819,69039.6021119654,141961.8885081604,65933.24824015796
CAN,2040,False,15347.109508341347,31557.317572780248,51991.6768456472,85657.92878269841,176133.13176354283,81803.8532871065
CAN,2040,True,14946.797326395026,30734.18024864331,50635.53212081697,83423.63754020954,171538.896070432,79670.0912921732
CAN,2050,False,18708.040853716586,38468.19403122162,63377.56396101456,104416.53721441767,214705.30479596005,99718.4406910526
CAN,2050,True,18028.926664343548,37071.77328302939,61076.91669867594,100626.14822703092,206911.36099603339,96098.59569793062
CAN,2060,False,22804.99740971447,46892.51387133478,77256.89682133758,127283.17621955005,261724.5684895489,121556.22277297126
CAN,2060,True,21706.92253131334,44634.61002060884,73536.92895382966,121154.41173259357,249122.36693892183,115703.21467381346
CAN,2070,False,27799.164590436838,57161.712748683865,94175.72613132122,155157.48157084093,319040.78856429586,148176.35727589164
CAN,2070,True,26085.796917700914,53638.62015994097,88371.31988073389,145594.53904996926,299377.09789359535,139043.68785360194
CAN,2080,False,33887.026516258346,69679.8088779888,114799.68465303502,189136.10425529446,388908.9410106038,180626.15269446146
